time,delivery_start,delivery_end,value,type
2015-07-17 22:45:00,2015-10,2015-10,476.25,a
2015-06-22 22:45:00,2015-11,2015-11,420.5,b
2015-06-23 22:45:00,2015-11,2015-11,441.25,a
2015-07-02 22:45:00,2015-09,2015-09,483.5,a
2015-07-14 22:22:00,2015-10,2015-10,481.75,a
2015-07-20 22:22:00,2015-10,2015-10,458,a
2015-07-23 22:22:00,2015-08,2015-08,458.25,a
2015-06-08 22:22:00,2015-09,2015-09,430.75,a
2015-05-27 20:00:00,2015-09,2015-09,410.75,a
2015-06-09 22:45:00,2015-11,2015-11,435,a
2015-07-13 20:00:00,2016-10,2016-10,465.5,a
2015-06-03 20:00:00,2015-12,2015-12,391,b
2015-07-15 22:45:00,2016-08,2016-08,445,b
2015-06-01 22:45:00,2015-12,2015-12,409,b
2015-07-29 22:45:00,2015-12,2015-12,406.25,b
2015-07-02 22:45:00,2015-11,2015-11,487.25,a
2015-05-21 22:22:00,2015-10,2015-12,431.25,a
2015-06-30 20:00:00,2015-10,2015-10,457.25,a
2015-06-01 22:22:00,2015-11,2015-11,419,a
2015-06-03 20:00:00,2015-08,2015-08,435.25,a
2015-07-06 22:45:00,2015-11,2015-11,485,a
2015-06-15 22:45:00,2015-10,2015-10,403.5,b
2015-06-05 22:22:00,2015-09,2015-09,425.5,a
2015-05-27 22:22:00,2015-11,2015-12,415.75,a
2015-05-15 22:22:00,2015-09,2015-09,427.5,a
2015-06-15 22:45:00,2015-08,2015-08,412.75,b
2015-05-20 22:45:00,2015-12,2015-12,420.25,b
2015-06-19 20:00:00,2015-09,2015-09,423.5,b
2015-05-22 20:00:00,2015-11,2015-11,431.25,a
2015-05-21 20:00:00,2015-10,2015-10,427.25,a
2015-06-30 20:00:00,2015-08,2015-08,457,a
2015-06-24 22:45:00,2015-12,2015-12,429.5,b
2015-07-13 22:22:00,2016-08,2016-08,472.75,a
2015-07-28 22:45:00,2015-11,2015-11,427.5,a
2015-06-19 22:22:00,2015-11,2015-11,428.75,a
2015-07-16 23:22:00,2015-08,2015-08,490,a
2015-06-24 22:45:00,2016-01,2016-01,436.5,b
2015-06-05 22:45:00,2015-10,2015-10,418,b
2015-05-13 22:22:00,2015-12,2015-12,428.5,a
2015-05-27 22:22:00,2015-10,2015-10,413.75,a
2015-05-07 22:22:00,2015-10,2015-12,427,a
2015-04-21 22:22:00,2015-09,2015-09,440.75,a
2015-06-22 22:45:00,2015-09,2015-09,434.25,a
2015-06-29 22:22:00,2015-11,2015-11,457.25,a
2015-07-23 20:00:00,2015-12,2015-12,448.5,a
2015-06-17 22:45:00,2016-01,2016-01,421.25,b
2015-06-19 20:00:00,2015-08,2015-08,438.5,a
2015-07-21 20:00:00,2015-12,2015-12,457.5,a
2015-06-12 20:00:00,2015-09,2015-09,413.75,b
2015-05-20 22:45:00,2015-10,2015-10,427.25,a
2015-07-07 20:00:00,2015-11,2015-11,469,b
2015-07-20 22:45:00,2015-08,2015-09,465,a
2015-06-09 20:00:00,2015-07,2015-07,449,a
2015-06-19 20:00:00,2016-01,2016-01,422.5,b
2015-06-18 20:00:00,2015-09,2015-09,425.25,b
